study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
GLDS-437,Space biology research study on Arabidopsis thaliana - GLDS-437,2020,ISS,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-437,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-438,Space biology research study on Drosophila melanogaster - GLDS-438,2021,ISS Expedition 50,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1506/example.glds-438,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-438,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-439,Space biology research study on Caenorhabditis elegans - GLDS-439,2022,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-439,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-440,Space biology research study on Homo sapiens - GLDS-440,2023,Space Shuttle,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1508/example.glds-440,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-440,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-441,Space biology research study on Rattus norvegicus - GLDS-441,2024,,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-441,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-442,Space biology research study on Mus musculus - GLDS-442,2015,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1510/example.glds-442,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-442,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-443,Space biology research study on Arabidopsis thaliana - GLDS-443,2016,ISS Expedition 50,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-443,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-444,Space biology research study on Drosophila melanogaster - GLDS-444,2017,ISS Expedition 60,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1512/example.glds-444,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-444,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-445,Space biology research study on Caenorhabditis elegans - GLDS-445,2018,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-445,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-446,Space biology research study on Homo sapiens - GLDS-446,2019,,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1514/example.glds-446,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-446,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-447,Space biology research study on Rattus norvegicus - GLDS-447,2020,ISS,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-447,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-448,Space biology research study on Mus musculus - GLDS-448,2021,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1516/example.glds-448,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-448,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-449,Space biology research study on Arabidopsis thaliana - GLDS-449,2022,ISS Expedition 60,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-449,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-450,Space biology research study on Drosophila melanogaster - GLDS-450,2023,Space Shuttle,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1518/example.glds-450,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-450,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
GLDS-451,Space biology research study on Caenorhabditis elegans - GLDS-451,2024,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-451,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
GLDS-452,Space biology research study on Homo sapiens - GLDS-452,2015,ISS,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1520/example.glds-452,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-452,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-453,Space biology research study on Rattus norvegicus - GLDS-453,2016,ISS Expedition 50,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-453,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
GLDS-454,Space biology research study on Mus musculus - GLDS-454,2017,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1522/example.glds-454,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-454,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
GLDS-455,Space biology research study on Arabidopsis thaliana - GLDS-455,2018,Space Shuttle,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-455,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
GLDS-456,Space biology research study on Drosophila melanogaster - GLDS-456,2019,,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1524/example.glds-456,https://osdr.nasa.gov/bio/repo/data/studies/GLDS-456,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
